Date,Open,High,Low,Close,Adj Close,Volume
2011-11-22,53.002857,53.990002,52.991428,53.787144,47.669174,102255300
2011-11-23,53.501427,53.691429,52.411430,52.427143,46.463867,107067800
2011-11-25,52.631428,53.021427,51.902859,51.938572,46.030861,63690200
2011-11-28,53.192856,53.817142,52.904285,53.731430,47.619797,86603300
2011-11-29,53.691429,54.118572,52.885715,53.314285,47.250095,93963800
2011-11-30,54.470001,54.611427,54.042858,54.599998,48.389565,101484600
2011-12-01,54.648571,55.571430,54.392857,55.418571,49.115017,96795300
2011-12-02,55.689999,56.232857,55.511429,55.671429,49.339123,94763900
2011-12-05,56.212856,56.630001,55.770000,56.144287,49.758198,89302500
2011-12-06,56.072857,56.375713,55.625713,55.849998,49.497391,70899500
2011-12-07,55.704285,55.848572,55.251427,55.584286,49.261894,76186600
2011-12-08,55.921429,56.500000,55.747143,55.808571,49.460663,94089100
2011-12-09,56.121429,56.291428,55.861427,56.231430,49.835430,74248300
2011-12-12,55.954285,56.271427,55.635715,55.977142,49.610069,75266800
2011-12-13,56.142857,56.485714,55.299999,55.544285,49.226444,84732200
2011-12-14,55.242859,55.340000,53.954285,54.312859,48.135082,101721900
2011-12-15,54.761429,54.820000,54.044285,54.134285,47.976833,64050000
2011-12-16,54.337143,54.878571,54.224285,54.431427,48.240166,105369600
2011-12-19,54.638573,54.978573,54.354286,54.601429,48.390831,58882600
2011-12-20,55.394287,56.585712,55.322857,56.564285,50.130421,84303800
2011-12-21,56.669998,56.757141,56.001427,56.635715,50.193733,65737000
2011-12-22,56.714287,57.018570,56.585712,56.935715,50.459614,50589700
2011-12-23,57.098572,57.655716,57.070000,57.618572,51.064789,67349800
2011-12-27,57.585712,58.441429,57.574287,58.075714,51.469933,66269000
2011-12-28,58.127144,58.321430,57.334286,57.520000,50.977436,57165500
2011-12-29,57.628571,57.950001,57.215714,57.874287,51.291416,53994500
2011-12-30,57.644287,58.040001,57.641430,57.857143,51.276226,44915500
2012-01-03,58.485714,58.928570,58.428570,58.747143,52.064991,75555200
2012-01-04,58.571430,59.240002,58.468571,59.062859,52.344795,65005500
2012-01-05,59.278572,59.792858,58.952858,59.718571,52.925930,67817400
2012-01-06,59.967144,60.392857,59.888573,60.342857,53.479202,79573200
2012-01-09,60.785713,61.107143,60.192856,60.247143,53.394375,98506100
2012-01-10,60.844284,60.857143,60.214287,60.462856,53.585545,64549100
2012-01-11,60.382858,60.407143,59.901428,60.364285,53.498199,53771200
2012-01-12,60.325714,60.414288,59.821430,60.198570,53.351322,53146800
2012-01-13,59.957142,60.064285,59.808571,59.972858,53.151287,56505400
